2026-03-15 18:02:50: [2026-03-15T18:02:50.574Z] INFO  ?? TTrades Fractal Model Bot started
2026-03-15 18:15:14: [2026-03-15T18:15:14.744Z] INFO  Analyzing GBPNZD...
2026-03-15 18:15:15: [2026-03-15T18:15:15.591Z] INFO  No setup for GBPNZD yet.
2026-03-15 18:15:15: [2026-03-15T18:15:15.892Z] INFO  Analyzing GBPJPY...
2026-03-15 18:15:16: [2026-03-15T18:15:16.737Z] INFO  No setup for GBPJPY yet.
2026-03-15 18:15:17: [2026-03-15T18:15:17.036Z] INFO  Analyzing AUDJPY...
2026-03-15 18:15:17: [2026-03-15T18:15:17.891Z] INFO  AUDJPY: signal already sent recently, skipping.
2026-03-15 18:15:18: [2026-03-15T18:15:18.192Z] INFO  Analyzing CHFJPY...
2026-03-15 18:15:19: [2026-03-15T18:15:19.034Z] INFO  No setup for CHFJPY yet.
2026-03-15 18:15:19: [2026-03-15T18:15:19.335Z] INFO  Analyzing GBPCHF...
2026-03-15 18:15:20: [2026-03-15T18:15:20.180Z] INFO  No setup for GBPCHF yet.
2026-03-15 18:15:20: [2026-03-15T18:15:20.481Z] INFO  Analyzing AUDNZD...
2026-03-15 18:15:21: [2026-03-15T18:15:21.327Z] INFO  No setup for AUDNZD yet.
2026-03-15 18:15:21: [2026-03-15T18:15:21.627Z] INFO  Analyzing AUDCAD...
2026-03-15 18:15:22: [2026-03-15T18:15:22.476Z] INFO  AUDCAD: signal already sent recently, skipping.
2026-03-15 18:15:22: [2026-03-15T18:15:22.776Z] INFO  Analyzing CADJPY...
2026-03-15 18:15:23: [2026-03-15T18:15:23.623Z] INFO  No setup for CADJPY yet.
2026-03-15 18:15:23: [2026-03-15T18:15:23.925Z] INFO  Analyzing GBPCAD...
2026-03-15 18:15:24: [2026-03-15T18:15:24.770Z] INFO  No setup for GBPCAD yet.
2026-03-15 18:15:25: [2026-03-15T18:15:25.070Z] INFO  Analyzing GBPAUD...
2026-03-15 18:15:25: [2026-03-15T18:15:25.919Z] INFO  GBPAUD: signal already sent recently, skipping.
2026-03-15 18:18:51: [2026-03-15T18:18:51.931Z] INFO  TTrades Fractal Model Bot started
2026-03-15 18:18:51: [2026-03-15T18:18:51.932Z] INFO  Monitoring: EURUSD, GBPUSD, USDJPY, USDCHF, USDCAD, AUDUSD, NZDUSD, EURGBP, EURJPY, EURCHF, EURAUD, EURCAD, GBPNZD, GBPJPY, AUDJPY, CHFJPY, GBPCHF, AUDNZD, AUDCAD, CADJPY, GBPCAD, GBPAUD
2026-03-15 18:18:51: [2026-03-15T18:18:51.932Z] INFO  Scanning every 15 minutes
2026-03-15 18:18:51: [2026-03-15T18:18:51.933Z] INFO  Starting TTrades Fractal Model scan...
2026-03-15 18:18:52: [2026-03-15T18:18:52.299Z] INFO  Capital.com session created
2026-03-15 18:18:52: [2026-03-15T18:18:52.299Z] INFO  Analyzing EURUSD...
2026-03-15 18:18:53: [2026-03-15T18:18:53.154Z] INFO  No setup for EURUSD yet.
2026-03-15 18:18:53: [2026-03-15T18:18:53.454Z] INFO  Analyzing GBPUSD...
2026-03-15 18:18:54: [2026-03-15T18:18:54.316Z] INFO  No setup for GBPUSD yet.
2026-03-15 18:18:54: [2026-03-15T18:18:54.617Z] INFO  Analyzing USDJPY...
2026-03-15 18:18:55: [2026-03-15T18:18:55.475Z] INFO  No setup for USDJPY yet.
2026-03-15 18:18:55: [2026-03-15T18:18:55.775Z] INFO  Analyzing USDCHF...
2026-03-15 18:18:56: [2026-03-15T18:18:56.627Z] INFO  No setup for USDCHF yet.
2026-03-15 18:18:56: [2026-03-15T18:18:56.927Z] INFO  Analyzing USDCAD...
2026-03-15 18:18:57: [2026-03-15T18:18:57.775Z] INFO  No setup for USDCAD yet.
2026-03-15 18:18:58: [2026-03-15T18:18:58.077Z] INFO  Analyzing AUDUSD...
2026-03-15 18:18:58: [2026-03-15T18:18:58.937Z] INFO  Signal found for AUDUSD: SHORT
2026-03-15 18:18:59: [2026-03-15T18:18:59.133Z] INFO  Telegram message sent
2026-03-15 18:18:59: [2026-03-15T18:18:59.434Z] INFO  Analyzing NZDUSD...
2026-03-15 18:19:00: [2026-03-15T18:19:00.290Z] INFO  No setup for NZDUSD yet.
2026-03-15 18:19:00: [2026-03-15T18:19:00.590Z] INFO  Analyzing EURGBP...
2026-03-15 18:19:01: [2026-03-15T18:19:01.442Z] INFO  No setup for EURGBP yet.
2026-03-15 18:19:01: [2026-03-15T18:19:01.742Z] INFO  Analyzing EURJPY...
2026-03-15 18:19:02: [2026-03-15T18:19:02.602Z] INFO  No setup for EURJPY yet.
2026-03-15 18:19:02: [2026-03-15T18:19:02.903Z] INFO  Analyzing EURCHF...
2026-03-15 18:19:03: [2026-03-15T18:19:03.760Z] INFO  No setup for EURCHF yet.
2026-03-15 18:19:04: [2026-03-15T18:19:04.061Z] INFO  Analyzing EURAUD...
2026-03-15 18:19:04: [2026-03-15T18:19:04.907Z] INFO  Signal found for EURAUD: LONG
2026-03-15 18:19:05: [2026-03-15T18:19:05.059Z] INFO  Telegram message sent
2026-03-15 18:19:05: [2026-03-15T18:19:05.360Z] INFO  Analyzing EURCAD...
2026-03-15 18:19:06: [2026-03-15T18:19:06.208Z] INFO  No setup for EURCAD yet.
2026-03-15 18:19:06: [2026-03-15T18:19:06.509Z] INFO  Analyzing GBPNZD...
2026-03-15 18:19:07: [2026-03-15T18:19:07.356Z] INFO  No setup for GBPNZD yet.
2026-03-15 18:19:07: [2026-03-15T18:19:07.656Z] INFO  Analyzing GBPJPY...
2026-03-15 18:19:08: [2026-03-15T18:19:08.518Z] INFO  No setup for GBPJPY yet.
2026-03-15 18:19:08: [2026-03-15T18:19:08.818Z] INFO  Analyzing AUDJPY...
2026-03-15 18:19:09: [2026-03-15T18:19:09.669Z] INFO  Signal found for AUDJPY: SHORT
2026-03-15 18:19:09: [2026-03-15T18:19:09.773Z] INFO  Telegram message sent
2026-03-15 18:19:10: [2026-03-15T18:19:10.073Z] INFO  Analyzing CHFJPY...
2026-03-15 18:19:10: [2026-03-15T18:19:10.936Z] INFO  No setup for CHFJPY yet.
2026-03-15 18:19:11: [2026-03-15T18:19:11.237Z] INFO  Analyzing GBPCHF...
2026-03-15 18:19:12: [2026-03-15T18:19:12.087Z] INFO  No setup for GBPCHF yet.
2026-03-15 18:19:12: [2026-03-15T18:19:12.388Z] INFO  Analyzing AUDNZD...
2026-03-15 18:19:13: [2026-03-15T18:19:13.239Z] INFO  No setup for AUDNZD yet.
2026-03-15 18:19:13: [2026-03-15T18:19:13.539Z] INFO  Analyzing AUDCAD...
2026-03-15 18:19:14: [2026-03-15T18:19:14.395Z] INFO  Signal found for AUDCAD: SHORT
2026-03-15 18:19:14: [2026-03-15T18:19:14.458Z] INFO  Telegram message sent
2026-03-15 18:19:14: [2026-03-15T18:19:14.761Z] INFO  Analyzing CADJPY...
2026-03-15 18:19:15: [2026-03-15T18:19:15.616Z] INFO  No setup for CADJPY yet.
2026-03-15 18:19:15: [2026-03-15T18:19:15.917Z] INFO  Analyzing GBPCAD...
2026-03-15 18:19:16: [2026-03-15T18:19:16.766Z] INFO  No setup for GBPCAD yet.
2026-03-15 18:19:17: [2026-03-15T18:19:17.066Z] INFO  Analyzing GBPAUD...
2026-03-15 18:19:17: [2026-03-15T18:19:17.917Z] INFO  Signal found for GBPAUD: LONG
2026-03-15 18:19:17: [2026-03-15T18:19:17.984Z] INFO  Telegram message sent
2026-03-15 18:21:59: [2026-03-15T18:21:59.766Z] INFO  TTrades Fractal Model Bot started
2026-03-15 18:21:59: [2026-03-15T18:21:59.768Z] INFO  Monitoring: EURUSD, GBPUSD, USDJPY, USDCHF, USDCAD, AUDUSD, NZDUSD, EURGBP, EURJPY, EURCHF, EURAUD, EURCAD, GBPNZD, GBPJPY, AUDJPY, CHFJPY, GBPCHF, AUDNZD, AUDCAD, CADJPY, GBPCAD, GBPAUD
2026-03-15 18:21:59: [2026-03-15T18:21:59.768Z] INFO  Scanning every 15 minutes
2026-03-15 18:21:59: [2026-03-15T18:21:59.768Z] INFO  Starting TTrades Fractal Model scan...
2026-03-15 18:22:00: [2026-03-15T18:22:00.149Z] INFO  Capital.com session created
2026-03-15 18:22:00: [2026-03-15T18:22:00.149Z] INFO  Analyzing EURUSD...
2026-03-15 18:22:01: [2026-03-15T18:22:01.007Z] INFO  No setup for EURUSD yet.
2026-03-15 18:22:01: [2026-03-15T18:22:01.308Z] INFO  Analyzing GBPUSD...
2026-03-15 18:22:02: [2026-03-15T18:22:02.175Z] INFO  No setup for GBPUSD yet.
2026-03-15 18:22:02: [2026-03-15T18:22:02.476Z] INFO  Analyzing USDJPY...
2026-03-15 18:22:03: [2026-03-15T18:22:03.336Z] INFO  No setup for USDJPY yet.
2026-03-15 18:22:03: [2026-03-15T18:22:03.637Z] INFO  Analyzing USDCHF...
2026-03-15 18:22:04: [2026-03-15T18:22:04.494Z] INFO  No setup for USDCHF yet.
2026-03-15 18:22:04: [2026-03-15T18:22:04.795Z] INFO  Analyzing USDCAD...
2026-03-15 18:22:05: [2026-03-15T18:22:05.648Z] INFO  No setup for USDCAD yet.
2026-03-15 18:22:05: [2026-03-15T18:22:05.949Z] INFO  Analyzing AUDUSD...
2026-03-15 18:22:06: [2026-03-15T18:22:06.800Z] INFO  No setup for AUDUSD yet.
2026-03-15 18:22:07: [2026-03-15T18:22:07.101Z] INFO  Analyzing NZDUSD...
2026-03-15 18:22:07: [2026-03-15T18:22:07.948Z] INFO  No setup for NZDUSD yet.
2026-03-15 18:22:08: [2026-03-15T18:22:08.249Z] INFO  Analyzing EURGBP...
2026-03-15 18:22:09: [2026-03-15T18:22:09.098Z] INFO  No setup for EURGBP yet.
2026-03-15 18:22:09: [2026-03-15T18:22:09.398Z] INFO  Analyzing EURJPY...
2026-03-15 18:22:10: [2026-03-15T18:22:10.249Z] INFO  No setup for EURJPY yet.
2026-03-15 18:22:10: [2026-03-15T18:22:10.549Z] INFO  Analyzing EURCHF...
2026-03-15 18:22:11: [2026-03-15T18:22:11.400Z] INFO  No setup for EURCHF yet.
2026-03-15 18:22:11: [2026-03-15T18:22:11.701Z] INFO  Analyzing EURAUD...
2026-03-15 18:22:12: [2026-03-15T18:22:12.556Z] INFO  Signal found for EURAUD: LONG
2026-03-15 18:22:12: [2026-03-15T18:22:12.682Z] INFO  Telegram message sent
2026-03-15 18:22:12: [2026-03-15T18:22:12.983Z] INFO  Analyzing EURCAD...
2026-03-15 18:22:13: [2026-03-15T18:22:13.825Z] INFO  No setup for EURCAD yet.
2026-03-15 18:22:14: [2026-03-15T18:22:14.126Z] INFO  Analyzing GBPNZD...
2026-03-15 18:22:14: [2026-03-15T18:22:14.982Z] INFO  No setup for GBPNZD yet.
2026-03-15 18:22:15: [2026-03-15T18:22:15.283Z] INFO  Analyzing GBPJPY...
2026-03-15 18:22:16: [2026-03-15T18:22:16.133Z] INFO  No setup for GBPJPY yet.
2026-03-15 18:22:16: [2026-03-15T18:22:16.434Z] INFO  Analyzing AUDJPY...
